file_id,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,premise_one,premise_two,p1_outcome,p2_outcome,p1_sentence,p2_sentence,q1,q2,q3,q4,trial_number,q1_type,q2_type,q3_type,q4_type,response,question_order
data_2019-09-03-13-06-13_s57gyquyha,null,Welcome to the experiment. Press any key to begin.,null,html-keyboard-response,0,4,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-06-13_s57gyquyha,null,"<p>In this task, you will read the outcomes of drug trials and then judge drug efficacies</p><p>Press any key to begin.</p>",null,html-keyboard-response,1,6,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-06-13_s57gyquyha,null,+,null,html-keyboard-response,2,1009,0.0-2.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-06-13_s57gyquyha,null,<p>People who took Doxypram were cured</p><p>People who took Doxypram and Acetapril were not cured</p>,null,html-keyboard-response,3,1011,0.0-2.0-1.0,A+,AB-,TRUE,FALSE,People who took Doxypram were cured,People who took Doxypram and Acetapril were not cured,How well does Doxypram work?,How well does the combination of Doxypram and Acetapril work?,How well does Acetapril work?,null,2,1,3,2,4,NA,NA
data_2019-09-03-13-06-13_s57gyquyha,null,<p>How well does Doxypram work?</p>,NA,html-slider-response,4,1032,0.0-2.0-2.0,A+,AB-,TRUE,FALSE,People who took Doxypram were cured,People who took Doxypram and Acetapril were not cured,How well does Doxypram work?,How well does the combination of Doxypram and Acetapril work?,How well does Acetapril work?,null,2,1,3,2,4,null,q1
data_2019-09-03-13-06-13_s57gyquyha,null,<p>How well does the combination of Doxypram and Acetapril work?</p>,NA,html-slider-response,5,1040,0.0-2.0-3.0,A+,AB-,TRUE,FALSE,People who took Doxypram were cured,People who took Doxypram and Acetapril were not cured,How well does Doxypram work?,How well does the combination of Doxypram and Acetapril work?,How well does Acetapril work?,null,2,1,3,2,4,null,q2
data_2019-09-03-13-06-13_s57gyquyha,null,<p>How well does Acetapril work?</p>,NA,html-slider-response,6,1048,0.0-2.0-4.0,A+,AB-,TRUE,FALSE,People who took Doxypram were cured,People who took Doxypram and Acetapril were not cured,How well does Doxypram work?,How well does the combination of Doxypram and Acetapril work?,How well does Acetapril work?,null,2,1,3,2,4,null,q3
data_2019-09-03-13-06-13_s57gyquyha,null,<p>null</p>,NA,html-slider-response,7,1062,0.0-2.0-5.0,A+,AB-,TRUE,FALSE,People who took Doxypram were cured,People who took Doxypram and Acetapril were not cured,How well does Doxypram work?,How well does the combination of Doxypram and Acetapril work?,How well does Acetapril work?,null,2,1,3,2,4,null,q4
data_2019-09-03-13-06-13_s57gyquyha,null,+,null,html-keyboard-response,8,1067,0.0-2.0-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-06-13_s57gyquyha,null,<p>People who took Atorvanax were not cured</p><p>People who took Atorvanax and Clonabalta were cured</p>,null,html-keyboard-response,9,1075,0.0-2.0-1.1,A-,AB+,FALSE,TRUE,People who took Atorvanax were not cured,People who took Atorvanax and Clonabalta were cured,null,How well does Atorvanax work?,How well does the combination of Atorvanax and Clonabalta work?,How well does Clonabalta work?,3,4,1,3,2,NA,NA
data_2019-09-03-13-06-13_s57gyquyha,null,<p>null</p>,NA,html-slider-response,10,1081,0.0-2.0-2.1,A-,AB+,FALSE,TRUE,People who took Atorvanax were not cured,People who took Atorvanax and Clonabalta were cured,null,How well does Atorvanax work?,How well does the combination of Atorvanax and Clonabalta work?,How well does Clonabalta work?,3,4,1,3,2,null,q1
data_2019-09-03-13-06-13_s57gyquyha,null,<p>How well does Atorvanax work?</p>,NA,html-slider-response,11,1097,0.0-2.0-3.1,A-,AB+,FALSE,TRUE,People who took Atorvanax were not cured,People who took Atorvanax and Clonabalta were cured,null,How well does Atorvanax work?,How well does the combination of Atorvanax and Clonabalta work?,How well does Clonabalta work?,3,4,1,3,2,null,q2
data_2019-09-03-13-06-13_s57gyquyha,null,<p>How well does the combination of Atorvanax and Clonabalta work?</p>,NA,html-slider-response,12,1102,0.0-2.0-4.1,A-,AB+,FALSE,TRUE,People who took Atorvanax were not cured,People who took Atorvanax and Clonabalta were cured,null,How well does Atorvanax work?,How well does the combination of Atorvanax and Clonabalta work?,How well does Clonabalta work?,3,4,1,3,2,null,q3
data_2019-09-03-13-06-13_s57gyquyha,null,<p>How well does Clonabalta work?</p>,NA,html-slider-response,13,1113,0.0-2.0-5.1,A-,AB+,FALSE,TRUE,People who took Atorvanax were not cured,People who took Atorvanax and Clonabalta were cured,null,How well does Atorvanax work?,How well does the combination of Atorvanax and Clonabalta work?,How well does Clonabalta work?,3,4,1,3,2,null,q4
data_2019-09-03-13-06-13_s57gyquyha,null,+,null,html-keyboard-response,14,1118,0.0-2.0-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-06-13_s57gyquyha,null,<p>People who took Ibuxen and Ciprodone were cured</p><p>People who took Wellbuloft were cured</p>,null,html-keyboard-response,15,1125,0.0-2.0-1.2,AB+,C+,TRUE,TRUE,People who took Ibuxen and Ciprodone were cured,People who took Wellbuloft were cured,How well does Ciprodone work?,null,How well does Ibuxen work?,How well does the combination of Ibuxen and Ciprodone work?,19,2,4,1,3,NA,NA
data_2019-09-03-13-06-13_s57gyquyha,null,<p>How well does Ciprodone work?</p>,NA,html-slider-response,16,1131,0.0-2.0-2.2,AB+,C+,TRUE,TRUE,People who took Ibuxen and Ciprodone were cured,People who took Wellbuloft were cured,How well does Ciprodone work?,null,How well does Ibuxen work?,How well does the combination of Ibuxen and Ciprodone work?,19,2,4,1,3,null,q1
data_2019-09-03-13-06-13_s57gyquyha,null,<p>null</p>,NA,html-slider-response,17,1147,0.0-2.0-3.2,AB+,C+,TRUE,TRUE,People who took Ibuxen and Ciprodone were cured,People who took Wellbuloft were cured,How well does Ciprodone work?,null,How well does Ibuxen work?,How well does the combination of Ibuxen and Ciprodone work?,19,2,4,1,3,null,q2
data_2019-09-03-13-06-13_s57gyquyha,null,<p>How well does Ibuxen work?</p>,NA,html-slider-response,18,1152,0.0-2.0-4.2,AB+,C+,TRUE,TRUE,People who took Ibuxen and Ciprodone were cured,People who took Wellbuloft were cured,How well does Ciprodone work?,null,How well does Ibuxen work?,How well does the combination of Ibuxen and Ciprodone work?,19,2,4,1,3,null,q3
data_2019-09-03-13-06-13_s57gyquyha,null,<p>How well does the combination of Ibuxen and Ciprodone work?</p>,NA,html-slider-response,19,1163,0.0-2.0-5.2,AB+,C+,TRUE,TRUE,People who took Ibuxen and Ciprodone were cured,People who took Wellbuloft were cured,How well does Ciprodone work?,null,How well does Ibuxen work?,How well does the combination of Ibuxen and Ciprodone work?,19,2,4,1,3,null,q4
