file_id,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,premise_one,premise_two,p1_outcome,p2_outcome,p1_sentence,p2_sentence,q1,q2,q3,q4,trial_number,q1_type,q2_type,q3_type,q4_type,response,question_order
data_2019-09-03-13-16-47_zo6z1ejiuj,960.0000000000001,Welcome to the experiment. Press any key to begin.,32,html-keyboard-response,0,960,0.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-16-47_zo6z1ejiuj,2024.0000000000005,"<p>In this task, you will read the outcomes of drug trials and then judge drug efficacies</p><p>Press any key to begin.</p>",32,html-keyboard-response,1,2985,0.0-1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-16-47_zo6z1ejiuj,null,+,null,html-keyboard-response,2,4488,0.0-2.0-0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-16-47_zo6z1ejiuj,null,<p>People who took Lorataminophen were not cured</p>,null,html-keyboard-response,3,9490,0.0-2.0-1.0,A-,null,FALSE,null,People who took Lorataminophen were not cured,null,null,null,null,How well does Lorataminophen work?,10,3,4,2,1,NA,NA
data_2019-09-03-13-16-47_zo6z1ejiuj,null,<p>null</p>,NA,html-slider-response,4,9498,0.0-2.0-2.0,A-,null,FALSE,null,People who took Lorataminophen were not cured,null,null,null,null,How well does Lorataminophen work?,10,3,4,2,1,null,q1
data_2019-09-03-13-16-47_zo6z1ejiuj,null,<p>null</p>,NA,html-slider-response,5,9501,0.0-2.0-3.0,A-,null,FALSE,null,People who took Lorataminophen were not cured,null,null,null,null,How well does Lorataminophen work?,10,3,4,2,1,null,q2
data_2019-09-03-13-16-47_zo6z1ejiuj,null,<p>null</p>,NA,html-slider-response,6,9517,0.0-2.0-4.0,A-,null,FALSE,null,People who took Lorataminophen were not cured,null,null,null,null,How well does Lorataminophen work?,10,3,4,2,1,null,q3
data_2019-09-03-13-16-47_zo6z1ejiuj,4226,<p>How well does Lorataminophen work?</p>,NA,html-slider-response,7,13745,0.0-2.0-5.0,A-,null,FALSE,null,People who took Lorataminophen were not cured,null,null,null,null,How well does Lorataminophen work?,10,3,4,2,1,-88,q4
data_2019-09-03-13-16-47_zo6z1ejiuj,null,+,null,html-keyboard-response,8,14246,0.0-2.0-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-16-47_zo6z1ejiuj,null,<p>People who took Xazolam and Cyclobalta were cured</p><p>People who took Xazolam were not cured</p>,null,html-keyboard-response,9,19247,0.0-2.0-1.1,AB+,A-,TRUE,FALSE,People who took Xazolam and Cyclobalta were cured,People who took Xazolam were not cured,How well does Xazolam work?,null,How well does Cyclobalta work?,How well does the combination of Xazolam and Cyclobalta work?,7,1,4,2,3,NA,NA
data_2019-09-03-13-16-47_zo6z1ejiuj,4614,<p>How well does Xazolam work?</p>,NA,html-slider-response,10,23863,0.0-2.0-2.1,AB+,A-,TRUE,FALSE,People who took Xazolam and Cyclobalta were cured,People who took Xazolam were not cured,How well does Xazolam work?,null,How well does Cyclobalta work?,How well does the combination of Xazolam and Cyclobalta work?,7,1,4,2,3,-46,q1
data_2019-09-03-13-16-47_zo6z1ejiuj,null,<p>null</p>,NA,html-slider-response,11,23866,0.0-2.0-3.1,AB+,A-,TRUE,FALSE,People who took Xazolam and Cyclobalta were cured,People who took Xazolam were not cured,How well does Xazolam work?,null,How well does Cyclobalta work?,How well does the combination of Xazolam and Cyclobalta work?,7,1,4,2,3,null,q2
data_2019-09-03-13-16-47_zo6z1ejiuj,2767,<p>How well does Cyclobalta work?</p>,NA,html-slider-response,12,26633,0.0-2.0-4.1,AB+,A-,TRUE,FALSE,People who took Xazolam and Cyclobalta were cured,People who took Xazolam were not cured,How well does Xazolam work?,null,How well does Cyclobalta work?,How well does the combination of Xazolam and Cyclobalta work?,7,1,4,2,3,-47,q3
data_2019-09-03-13-16-47_zo6z1ejiuj,2558,<p>How well does the combination of Xazolam and Cyclobalta work?</p>,NA,html-slider-response,13,29192,0.0-2.0-5.1,AB+,A-,TRUE,FALSE,People who took Xazolam and Cyclobalta were cured,People who took Xazolam were not cured,How well does Xazolam work?,null,How well does Cyclobalta work?,How well does the combination of Xazolam and Cyclobalta work?,7,1,4,2,3,89,q4
data_2019-09-03-13-16-47_zo6z1ejiuj,null,+,null,html-keyboard-response,14,29694,0.0-2.0-0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
data_2019-09-03-13-16-47_zo6z1ejiuj,null,<p>People who took Acetadol were not cured</p><p>People who took Doxydol and Oxypril were not cured</p>,null,html-keyboard-response,15,34696,0.0-2.0-1.2,C-,AB-,FALSE,FALSE,People who took Acetadol were not cured,People who took Doxydol and Oxypril were not cured,How well does Oxypril work?,How well does Acetadol work?,How well does Doxydol work?,How well does the combination of Doxydol and Oxypril work?,18,3,1,2,4,NA,NA
data_2019-09-03-13-16-47_zo6z1ejiuj,5683,<p>How well does Oxypril work?</p>,NA,html-slider-response,16,40380,0.0-2.0-2.2,C-,AB-,FALSE,FALSE,People who took Acetadol were not cured,People who took Doxydol and Oxypril were not cured,How well does Oxypril work?,How well does Acetadol work?,How well does Doxydol work?,How well does the combination of Doxydol and Oxypril work?,18,3,1,2,4,-82,q1
data_2019-09-03-13-16-47_zo6z1ejiuj,2522,<p>How well does Acetadol work?</p>,NA,html-slider-response,17,42902,0.0-2.0-3.2,C-,AB-,FALSE,FALSE,People who took Acetadol were not cured,People who took Doxydol and Oxypril were not cured,How well does Oxypril work?,How well does Acetadol work?,How well does Doxydol work?,How well does the combination of Doxydol and Oxypril work?,18,3,1,2,4,-86,q2
